Longitude,Latitude,Slope
0.5,0.5,0.6110351
1.5,0.5,0.77143675
2.5,0.5,0.7407824
3.5,0.5,0.7615974
4.5,0.5,0.52428824
5.5,0.5,0.58372396
6.5,0.5,1.1396214
7.5,0.5,1.269351
8.5,0.5,0.5386626
9.5,0.5,0.3721518
10.5,0.5,0.35993975
11.5,0.5,0.3912107
12.5,0.5,0.49393034
13.5,0.5,0.4397405
14.5,0.5,0.4674455
15.5,0.5,0.4448948
16.5,0.5,0.4622584
17.5,0.5,0.41941157
18.5,0.5,0.44049942
19.5,0.5,0.39647397
20.5,0.5,0.5371898
21.5,0.5,0.52464205
22.5,0.5,0.4742999
23.5,0.5,0.46134883
24.5,0.5,0.43108296
25.5,0.5,0.4741413
26.5,0.5,0.5295709
27.5,0.5,0.5348993
28.5,0.5,0.5073185
29.5,0.5,0.54824865
30.5,0.5,0.6896999
31.5,0.5,0.6927156
32.5,0.5,0.7986795
33.5,0.5,0.5123105
34.5,0.5,0.47246337
35.5,0.5,0.4089703
36.5,0.5,0.4395941
37.5,0.5,0.5084126
38.5,0.5,0.5016275
39.5,0.5,0.4747297
40.5,0.5,0.55615854
41.5,0.5,0.44815275
42.5,0.5,0.5757302
43.5,0.5,0.76925945
44.5,0.5,0.45338562
45.5,0.5,0.48157865
46.5,0.5,0.5273249
47.5,0.5,0.53864294
48.5,0.5,0.50698054
49.5,0.5,0.47774684
50.5,0.5,0.4793176
51.5,0.5,0.47873718
52.5,0.5,0.52105176
53.5,0.5,0.5061324
54.5,0.5,0.47752887
55.5,0.5,0.4967815
56.5,0.5,0.5100821
57.5,0.5,0.43962565
58.5,0.5,0.47984326
59.5,0.5,0.5116607
60.5,0.5,0.5269747
61.5,0.5,0.5306046
62.5,0.5,0.61040664
63.5,0.5,0.60971725
64.5,0.5,0.66074437
65.5,0.5,0.64221245
66.5,0.5,0.7386695
67.5,0.5,0.6878438
68.5,0.5,0.69638854
69.5,0.5,0.6320611
70.5,0.5,0.5907086
71.5,0.5,0.7112323
72.5,0.5,0.57704765
73.5,0.5,0.63779086
74.5,0.5,0.63748574
75.5,0.5,0.60421515
76.5,0.5,0.73835117
77.5,0.5,0.6935057
78.5,0.5,0.594401
79.5,0.5,0.5410264
80.5,0.5,0.5403088
81.5,0.5,0.5191575
82.5,0.5,0.59183156
83.5,0.5,0.5360365
84.5,0.5,0.5640359
85.5,0.5,0.59798604
86.5,0.5,0.57584274
87.5,0.5,0.51523465
88.5,0.5,0.5356746
89.5,0.5,0.5580996
90.5,0.5,0.5248027
91.5,0.5,0.5057355
92.5,0.5,0.47547656
93.5,0.5,0.64841354
94.5,0.5,1.194046
95.5,0.5,0.8513703
96.5,0.5,0.52382314
97.5,0.5,0.7717712
98.5,0.5,1.452822
99.5,0.5,0.60308135
100.5,0.5,0.575238
101.5,0.5,0.50934464
102.5,0.5,0.59994626
103.5,0.5,0.56732917
104.5,0.5,0.6003052
105.5,0.5,0.58437526
106.5,0.5,0.6278133
107.5,0.5,0.66872394
108.5,0.5,0.61094916
109.5,0.5,0.6059946
110.5,0.5,0.5361599
111.5,0.5,0.6939885
112.5,0.5,0.7755885
113.5,0.5,0.49906942
114.5,0.5,0.62143874
115.5,0.5,0.528101
116.5,0.5,0.5631947
117.5,0.5,0.55919194
118.5,0.5,0.5785015
119.5,0.5,0.52084506
120.5,0.5,0.4931159
121.5,0.5,0.45586032
122.5,0.5,0.64320374
123.5,0.5,0.49269
124.5,0.5,0.5091375
125.5,0.5,0.5424409
126.5,0.5,0.54476106
127.5,0.5,0.5864103
128.5,0.5,0.5349948
129.5,0.5,0.5036736
130.5,0.5,0.48001313
131.5,0.5,0.41081506
132.5,0.5,0.48767015
133.5,0.5,0.48860046
134.5,0.5,0.44793516
135.5,0.5,0.4937724
136.5,0.5,0.41829634
137.5,0.5,0.36688748
138.5,0.5,0.47235662
139.5,0.5,0.53065956
140.5,0.5,0.5092497
141.5,0.5,0.49432546
142.5,0.5,0.54840297
143.5,0.5,0.48433965
144.5,0.5,0.45815235
145.5,0.5,0.43892306
146.5,0.5,0.41797805
147.5,0.5,0.47050232
148.5,0.5,0.3797478
149.5,0.5,0.75694895
150.5,0.5,0.4810424
151.5,0.5,0.49971443
152.5,0.5,0.3750183
153.5,0.5,0.40461951
154.5,0.5,0.37029266
155.5,0.5,0.4875034
156.5,0.5,0.6789119
157.5,0.5,0.46537215
158.5,0.5,0.5106452
159.5,0.5,0.614831
160.5,0.5,0.618949
161.5,0.5,0.7193914
162.5,0.5,0.68384457
163.5,0.5,0.43316883
164.5,0.5,0.40800136
165.5,0.5,0.45508382
166.5,0.5,0.48762143
167.5,0.5,0.36646518
168.5,0.5,0.47834703
169.5,0.5,0.43238384
170.5,0.5,0.3777905
171.5,0.5,0.49034774
172.5,0.5,0.54759395
173.5,0.5,0.50203353
174.5,0.5,0.560056
175.5,0.5,0.46719706
176.5,0.5,0.49102306
177.5,0.5,0.6229813
178.5,0.5,0.4401497
179.5,0.5,0.5501982
180.5,0.5,0.8664664
181.5,0.5,0.5525999
182.5,0.5,0.5209127
183.5,0.5,0.43598303
184.5,0.5,0.4552077
185.5,0.5,0.4447042
186.5,0.5,0.6956806
187.5,0.5,0.50211567
188.5,0.5,0.47491372
189.5,0.5,1.0573766
190.5,0.5,2.2824345
191.5,0.5,0.57177573
192.5,0.5,0.46420795
193.5,0.5,0.6598833
194.5,0.5,0.59204227
195.5,0.5,0.76956
196.5,0.5,0.9285992
197.5,0.5,0.76028776
198.5,0.5,0.7064214
199.5,0.5,0.77329564
200.5,0.5,0.88821316
201.5,0.5,0.8521556
202.5,0.5,0.84919775
203.5,0.5,1.1296482
204.5,0.5,1.0007318
205.5,0.5,0.900918
206.5,0.5,0.89641094
207.5,0.5,0.8968762
208.5,0.5,0.88211346
209.5,0.5,0.78361124
210.5,0.5,0.720488
211.5,0.5,0.7195275
212.5,0.5,0.7451946
213.5,0.5,0.8252463
214.5,0.5,0.5804559
215.5,0.5,0.62449324
216.5,0.5,0.5789828
217.5,0.5,0.5840543
218.5,0.5,0.4818264
219.5,0.5,0.43224135
220.5,0.5,0.61305976
221.5,0.5,0.62899953
222.5,0.5,0.7244928
223.5,0.5,0.5894508
224.5,0.5,0.5676211
225.5,0.5,0.53875256
226.5,0.5,0.66574645
227.5,0.5,0.54972774
228.5,0.5,0.810524
229.5,0.5,0.5348638
230.5,0.5,0.44249788
231.5,0.5,0.57572854
232.5,0.5,0.5992297
233.5,0.5,0.6070005
234.5,0.5,0.42538774
235.5,0.5,0.5226603
236.5,0.5,0.50244147
237.5,0.5,0.58921874
238.5,0.5,0.6201014
239.5,0.5,0.62813294
240.5,0.5,0.60676104
241.5,0.5,0.7037941
242.5,0.5,0.7107144
243.5,0.5,0.53048974
244.5,0.5,0.5947333
245.5,0.5,0.53456426
246.5,0.5,0.57971764
247.5,0.5,0.52220595
248.5,0.5,0.5250875
249.5,0.5,0.6729233
250.5,0.5,0.6006498
251.5,0.5,0.5638731
252.5,0.5,0.52217793
253.5,0.5,1.3352455
254.5,0.5,0.60086226
255.5,0.5,0.5667349
256.5,0.5,0.41045004
257.5,0.5,0.4621787
258.5,0.5,0.51165605
259.5,0.5,0.3949803
260.5,0.5,0.46570015
261.5,0.5,0.49405012
262.5,0.5,0.34944588
263.5,0.5,0.44216543
264.5,0.5,0.53944266
265.5,0.5,0.57030594
266.5,0.5,0.52520895
267.5,0.5,0.42149776
268.5,0.5,0.42420995
269.5,0.5,0.44467407
270.5,0.5,0.44106013
271.5,0.5,0.48614818
272.5,0.5,0.45887643
273.5,0.5,1.1196551
274.5,0.5,0.62211895
275.5,0.5,0.5569382
276.5,0.5,0.62750125
277.5,0.5,0.49004912
278.5,0.5,0.4215225
279.5,0.5,0.52991766
280.5,0.5,0.51221496
281.5,0.5,0.49621147
282.5,0.5,0.5696527
283.5,0.5,0.61657786
284.5,0.5,0.57875544
285.5,0.5,0.55642664
286.5,0.5,0.4060183
287.5,0.5,0.44811413
288.5,0.5,0.54271746
289.5,0.5,0.63149583
290.5,0.5,0.46862563
291.5,0.5,0.44143158
292.5,0.5,0.48630118
293.5,0.5,0.6273869
294.5,0.5,0.5116813
